symbol,current_price,volume_24h,price_change_24h,volatility_score,volume_score,trend_score,overall_score,patterns,recommendation,timestamp
SBETUSDT,12.93,356.74,-7.642857142857141,0.0666144200626959,3.096372708415092,0.40838859726641946,62.36761520551647,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:07:01.520759
0GUSDT,1.2289,6254689.0,26.53418451400331,6.809874632575971,0.20223288077826507,0.44898949516407965,50.572494813336334,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:05.332855
TRUMPUSDT,7.385,708468.15,-1.8735051820356063,2.74711484282558,0.8274170728702797,0.46159959120675603,49.74750708131466,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:00.068363
ATUSDT,0.387,268245822.0,-1.298171338213161,5.518147953564377,0.038663325207105,0.4125651217314444,49.19237954739307,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:07.926251
MONUSDT,0.04123,3424991.0,-2.7823626503183263,3.0584831441726625,0.4543254652593818,0.5401150648501677,48.521005382115156,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:06.618670
ZKUSDT,0.04854,29844468.0,-19.635761589403977,4.20605102026217,0.34876047895164575,0.41562691854855865,48.41829622127414,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:00.153496
LABUSDT,0.15661,25522865.0,-32.678502342776085,5.749483571307609,0.05402210256118815,0.32884194241310905,48.36551058779689,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:07.871750
NBUSDT,0.08055,1439175916.0,-3.659849300322937,5.385690034010597,0.10137424938967916,0.359344615423626,48.3577049044011,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:09.161258
BLESSUSDT,0.03848,17748749.0,-1.2827090815803022,4.988690033469241,0.0006522387082437663,0.4078656518271498,47.129905524033155,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:05.357203
ZENUSDT,16.334,515079.59999999986,-5.414326249348534,3.9010894207799534,0.17079280769934904,0.48003562525362303,47.01190884440581,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:09.169669
XPLUSDT,0.2807,19014372.0,7.671653241273502,3.76885195396892,0.1600657260213444,0.5049092284803817,47.00539769172784,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:03.961128
ASTERUSDT,0.9596,633211877.57,-21.741967052683087,4.543790982622109,0.11340307433292221,0.3989731816337771,46.744867323871084,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:06:57.279114
42USDT,0.09025,4150224.0,-17.285308404362574,4.914431029172632,0.16935813894922405,0.3017531121999339,46.47193672100881,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:07.936708
ZECUSDT,410.28,35739.407999999996,4.179574424864141,3.4767151324216363,0.09143978005914047,0.5453273242760854,46.25108968337802,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:06.562344
CCUSDT,0.1512,246955919.0,-10.373443983402487,4.340724224261748,0.09127872132370818,0.38820607554128334,45.69908139684799,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:09.187470
STBLUSDT,0.07319,13738538.0,-16.829545454545446,3.8316448614837837,0.1939238110796357,0.4109597684465234,45.65336806417818,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:05.301633
EVAAUSDT,4.944,157001.4,-21.523809523809522,4.360810501907207,0.0675610412591132,0.37002490772181235,45.158540072749,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:06.731007
BLUAIUSDT,0.01432,42352153.0,-24.8688352570829,4.261164340025112,0.024944613449935874,0.39994589229173494,45.03185700040939,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:07.918625
APRUSDT,0.28723,4053750.0,-4.704555256958964,3.4527554362534243,0.010588966060017267,0.5157008573324288,44.778173116009015,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:08.037453
RVVUSDT,0.006682,7480454.0,-19.123698862260962,3.3942149651021403,0.325694112179016,0.3656853589879645,44.75329319685587,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:07.903817
CLOUSDT,0.2875,130823.0,5.854197349042689,2.9146185908896864,0.0,0.5488884349520405,44.721624471709866,"[{'type': 'RESISTANCE_BREAKOUT', 'confidence': 0.7, 'potential_move': np.float64(0.4893393918210309)}, {'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:07.883330
KGENUSDT,0.25587,332137.0,-3.288354688740236,3.523378151441609,0.0,0.5006209690491343,44.582553835307515,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:06.577563
4USDT,0.05901,146341967.0,-30.140878418373383,7.3062508098174135,0.039740259688356504,0.26468830456538167,43.772416258738964,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:06.627636
YBUSDT,0.5579,1253590.0,-4.452817263230013,3.3582914842756315,0.055506240353823594,0.43692515551624117,43.368439966689955,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:06.646776
TRADOORUSDT,2.107,382.0,-11.47058823529411,0.1730346247028384,1.0471204188481675,0.4086488035999724,43.16328413458964,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:05.318688
TURTLEUSDT,0.0986,14476050.0,-18.038237738985874,3.5428888263939293,0.008190277831602966,0.4220587495291823,43.151744248081464,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:07.945359
BUSDT,0.1861,212245.0,4.550561797752817,2.2175076215883744,0.12611514379121183,0.5494662917468477,42.90300013761419,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:01.446280
TSLAUSDT,468.2,166.49,1.5442005725687435,0.43640984247752984,0.5870046763475264,0.5289559368183689,42.75839502727523,"[{'type': 'RESISTANCE_BREAKOUT', 'confidence': 0.7, 'potential_move': np.float64(1.9044509739906346)}, {'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:01.470905
XPINUSDT,0.006176,10250984.0,2.796271637816239,2.2186430910957915,0.1765795702580072,0.5154700790748541,42.73112655736453,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:05.349795
RIVERUSDT,7.355,138681.5,-3.868775323487117,2.7488501514419386,0.03125775762301186,0.4941984264016137,42.44309655858821,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:08.044085
AIAUSDT,1.1689,35986.0,-3.180651039509652,3.323778006106528,0.0,0.4210592597540548,42.39251921340068,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:05.311109
PUMPUSDT,0.003866,1767935235.0,-9.75723622782445,3.126862815660398,0.04639750021441,0.42137890262528005,42.27214150163089,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:01.462435
APTUSDT,2.883,45390.1,-12.794918330308535,2.0558902557193526,0.4014821382269545,0.40149241769630706,42.212340503353744,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:06:58.755416
FARTCOINUSDT,0.2764,4586196.1,-15.188708192697153,3.3202731703717556,0.07545307462783708,0.3708533697863195,42.13241765312002,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:00.049749
METUSDT,0.3691,2597302.0,-8.45734126984128,2.821551684992183,0.01962281151839013,0.4671461476982459,42.00380612412537,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:06.602819
COAIUSDT,1.337,13128834.0,7.9967689822294075,11.442557976883387,0.22627503493696052,0.6418983903597612,41.77304422591467,"[{'type': 'RESISTANCE_BREAKOUT', 'confidence': 0.7, 'potential_move': np.float64(2.688573562359964)}, {'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:07:06.585398
