symbol,current_price,volume_24h,price_change_24h,volatility_score,volume_score,trend_score,overall_score,patterns,recommendation,timestamp
SBETUSDT,12.93,356.74,-7.642857142857141,0.0666144200626959,3.096372708415092,0.40838859726641946,62.36761520551647,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:08:03.275985
0GUSDT,1.224,6254694.0,26.02965403624382,6.82640995801979,0.2022487111578222,0.4445182722456453,50.43362268243175,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:07.139767
TRUMPUSDT,7.375,709583.18,-2.006377889981392,2.75394774965688,0.8601644343611555,0.4600652402735053,50.064792398052305,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:01.930569
MONUSDT,0.04151,3442593.0,-2.1221410044800826,3.0964309211928653,0.5669440316340092,0.5483121442440301,49.92497596479929,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:08:08.363009
ATUSDT,0.38716,268254668.0,-1.2573643806268908,5.518129799768085,0.040681084320793995,0.41302906485214796,49.22178153955515,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:09.647517
ZKUSDT,0.04854,29844468.0,-19.635761589403977,4.20605102026217,0.34876047895164575,0.41562691854855865,48.41829622127414,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:01.913239
NBUSDT,0.08065,1439213730.0,-3.5402463820117247,5.385634618341125,0.10247048269891124,0.36068575702759037,48.39532382256429,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:10.884260
LABUSDT,0.15629,25522936.0,-32.8160598375102,5.756695650052166,0.054091965319535924,0.32664888074393045,48.34398421823047,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:09.606202
ZENUSDT,16.388,515210.8999999999,-5.101627193236413,3.9009088704490957,0.18285254792028152,0.48387105355085014,47.208673161567106,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:10.878099
BLESSUSDT,0.03848,17748749.0,-1.2827090815803022,4.988690033469241,0.0006522387082437663,0.4078656518271498,47.129905524033155,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:07.147308
XPLUSDT,0.2807,19019746.0,7.671653241273502,3.76885195396892,0.16624473498164,0.5049092284803817,47.067187781330794,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:05.773058
ASTERUSDT,0.96145,633588013.9100001,-21.591094438101443,4.543669668835146,0.12764928658010902,0.40113404296908567,46.930182731688234,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:07:59.262196
42USDT,0.09036,4155804.0,-17.18449271377509,4.917114110329077,0.19883401712161097,0.30302296466986783,46.800141795600695,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:09.755402
ZECUSDT,411.2,35742.075,4.413183687979272,3.4766030684008236,0.09305525780796613,0.5480468940685993,46.32129966465411,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:08:08.280506
CCUSDT,0.1535,246964488.0,-9.01007705986958,4.337156673462926,0.09317074349575012,0.40524037011216163,46.047984857589505,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:10.902411
STBLUSDT,0.07319,13738538.0,-16.829545454545446,3.8316448614837837,0.1939238110796357,0.4109597684465234,45.65336806417818,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:07.113597
EVAAUSDT,4.9,157005.0,-22.22222222222221,4.394829060787068,0.06802309333793517,0.36026806484278245,45.0700794125962,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:08.304925
BLUAIUSDT,0.01433,42353091.0,-24.816369359916056,4.2610863694434125,0.025414659004521358,0.4007269171922774,45.051944042220995,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:09.633678
APRUSDT,0.28723,4053750.0,-4.704555256958964,3.4527554362534243,0.010588966060017267,0.5157008573324288,44.778173116009015,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:08:09.664929
RVVUSDT,0.006682,7480454.0,-19.123698862260962,3.3942149651021403,0.325694112179016,0.3656853589879645,44.75329319685587,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:08:09.626204
