symbol,current_price,volume_24h,price_change_24h,volatility_score,volume_score,trend_score,overall_score,patterns,recommendation,timestamp
APEUSDT,0.38,23565.0,-4.833458552466818,0.7771603695719361,3.3278837420526792,0.48060012432465266,65.94348359520886,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:21:36.546505
TAKEUSDT,0.25824,64087.0,-8.91005291005289,0.7873581878789646,11.739753974185469,0.47217928199342,65.8056602035053,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:21:42.025636
TRUMPUSDT,7.489,760244.78,-0.49162901939940884,2.7953076651034903,2.238537451314555,0.47755684091255773,64.32243432670718,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:21:37.824565
SBETUSDT,13.11,363.08,-6.357142857142861,0.1352643056462198,3.3915390547537734,0.42379986127767605,62.88179014249218,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:21:39.310496
2ZUSDT,0.15578,39538.0,-14.02395275677465,0.057981960785094176,4.0467398452122,0.4194650306550299,62.56324649545587,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-04T00:21:44.514113
MONUSDT,0.04199,3629803.0,-0.9903324687573822,3.261691500781598,1.689058186697099,0.5623642803477956,61.922941976271694,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",WATCH,2025-11-04T00:21:44.690931
TSLAUSDT,468.37,179.64,1.5810705300598693,0.45134877968819365,2.040188990721239,0.5293846925282648,57.343630096842254,"[{'type': 'RESISTANCE_BREAKOUT', 'confidence': 0.7, 'potential_move': np.float64(2.2091631298291503)}, {'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:21:39.303005
MSFTUSDT,520.42,40.730000000000004,1.0524271844660094,0.03749164817325994,1.964154186103609,0.5027403720668909,54.808824246893685,"[{'type': 'RESISTANCE_BREAKOUT', 'confidence': 0.7, 'potential_move': np.float64(0.10001923446816274)}, {'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",NEUTRAL,2025-11-04T00:21:39.317521
ZENUSDT,16.834,518549.6999999999,-2.5189646186808634,4.0138138569837505,0.48466304122728515,0.5155488502279458,51.19904898778302,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:21:47.171251
0GUSDT,1.244,6268991.0,28.088962108731465,6.857513503403645,0.24741080417845387,0.4627681617086468,51.156930765746544,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",NEUTRAL,2025-11-04T00:21:43.256266
