symbol,current_price,volume_24h,price_change_24h,volatility_score,volume_score,trend_score,overall_score,patterns,recommendation,timestamp
ZECUSDT,411.51,36776.887,4.792584481397544,3.583489301828599,2.6990604654585835,0.5608316994917405,72.95770654990645,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",BUY,2025-11-03T23:57:42.343254
METUSDT,0.3674,2627656.0,-9.351097952134225,2.8551519462645856,2.9659587761487476,0.4905052189061598,72.03514797840442,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",BUY,2025-11-03T23:57:42.267167
ONUSDT,0.11031,263647.0,-23.37454848569047,3.3717581969834827,8.154370485849096,0.37546410187118234,71.6245566283741,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",BUY,2025-11-03T23:57:43.567451
WLFIUSDT,0.1195,11559147.0,-10.217881292261454,2.5033507793994407,4.218515204875742,0.43948237435248294,70.29969982524797,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",BUY,2025-11-03T23:57:39.609652
FARTCOINUSDT,0.2755,4644797.1,-15.723462832670542,3.369454383069517,2.6954775977025895,0.3736436494795295,68.53601211582505,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:35.712721
AIOUSDT,0.14092,36014.0,-12.450298210735589,1.526176386454323,6.48358971511079,0.43863254812805796,67.35118012192413,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:38.305498
DAMUSDT,0.03093,577388.0,-14.863748967795221,1.4135734444133161,6.103313543059433,0.41030054723046655,66.44673127784928,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:38.323257
PTBUSDT,0.0266,187539.0,-8.433734939759042,0.9198674560356163,5.736351360727572,0.473642435537301,66.23245107885286,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:39.630800
LYNUSDT,0.10188,91959.0,-2.076124567474047,0.7713900591829278,15.620895686016555,0.48539584115900825,66.02208700072894,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:42.208424
AVAXUSDT,16.75,99522.0,-8.168859649122794,1.902017753136124,2.7037818462306316,0.44776352886908244,65.69914229909634,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:33.150016
SAHARAUSDT,0.07429,22585.399999999998,-0.4555808656036553,0.4908077805780119,2.987025413349663,0.5134035810423369,65.6107490960774,"[{'type': 'UPTREND', 'confidence': 0.6, 'potential_move': 5.0}]",WATCH,2025-11-03T23:57:36.959089
APEUSDT,0.3771,19901.0,-5.559729526671675,0.7245287906245677,5.388673935983117,0.4692317032052069,65.55822043597784,"[{'type': 'DOWNTREND', 'confidence': 0.6, 'potential_move': -3.0}]",WATCH,2025-11-03T23:57:34.364177
