iter	Passed	Remaining
188	9273	20166
189	9321	20115
190	9367	20058
191	9408	19993
192	9455	19939
193	9498	19878
194	9541	19817
195	9674	19941
196	9734	19913
197	9786	19869
198	9832	19813
199	9877	19754
200	9922	19696
201	9981	19667
202	10044	19643
203	10099	19604
204	10159	19575
205	10201	19512
206	10243	19447
207	10287	19387
208	10330	19326
209	10371	19261
210	10416	19203
211	10464	19151
212	10508	19092
213	10561	19050
214	10609	18997
215	10661	18954
216	10709	18902
217	10761	18856
218	10817	18820
219	10869	18775
220	10933	18749
221	10982	18700
222	11030	18648
223	11077	18594
224	11140	18566
225	11197	18530
226	11260	18502
227	11310	18454
228	11355	18397
229	11400	18339
230	11443	18279
231	11485	18218
232	11531	18163
233	11573	18102
234	11613	18037
235	11660	17985
236	11703	17926
237	11751	17874
238	11794	17814
239	11840	17760
240	11882	17701
241	11925	17642
242	11969	17585
243	12011	17525
244	12056	17469
245	12110	17427
246	12164	17384
247	12216	17340
248	12263	17287
249	12311	17235
250	12368	17197
251	12424	17157
252	12479	17116
253	12522	17057
254	12568	17004
255	12609	16943
256	12653	16887
257	12698	16833
258	12744	16780
259	12788	16722
260	12832	16667
261	12877	16612
262	12924	16560
263	12969	16507
264	13012	16449
265	13056	16393
266	13102	16341
267	13154	16296
268	13199	16241
269	13251	16196
270	13301	16148
271	13355	16105
272	13404	16055
273	13448	16001
274	13505	15960
275	13560	15918
276	13623	15885
277	13675	15839
278	13719	15784
279	13763	15729
280	13806	15673
281	13850	15618
282	13891	15560
283	13934	15504
284	13975	15446
285	14017	15390
286	14059	15333
287	14112	15289
288	14163	15241
289	14210	15190
290	14261	15143
291	14312	15096
292	14360	15046
293	14402	14990
294	14450	14940
295	14501	14893
296	14550	14844
297	14600	14796
298	14646	14744
299	14704	14704
300	14758	14660
301	14814	14618
302	14865	14571
303	14914	14521
304	14956	14466
305	15001	14412
306	15044	14358
307	15090	14306
308	15136	14254
309	15183	14203
310	15233	14156
311	15275	14100
312	15319	14047
313	15367	13997
314	15412	13944
315	15461	13896
316	15504	13841
317	15547	13787
318	15589	13732
319	15630	13676
320	15681	13629
321	15734	13584
322	15783	13536
323	15830	13485
324	15889	13445
325	15944	13401
326	15996	13354
327	16042	13303
328	16087	13251
329	16133	13199
330	16175	13145
331	16218	13092
332	16262	13039
333	16305	12986
334	16348	12932
335	16390	12878
336	16433	12825
337	16475	12770
338	16521	12719
339	16561	12665
340	16607	12613
341	16657	12566
342	16700	12513
343	16744	12460
344	16785	12406
345	16832	12356
346	16883	12309
347	16935	12263
348	16985	12215
349	17032	12166
350	17113	12140
351	17176	12101
352	17219	12048
353	17264	11997
354	17305	11943
355	17346	11889
356	17388	11835
357	17435	11786
358	17476	11731
359	17518	11678
360	17558	11624
361	17598	11570
362	17645	11520
363	17686	11466
364	17793	11456
365	17844	11408
366	17884	11354
367	17929	11303
368	17971	11250
369	18014	11198
370	18072	11155
371	18125	11109
372	18176	11062
373	18236	11020
374	18292	10975
375	18343	10928
376	18385	10875
377	18488	10858
378	18542	10812
379	18592	10764
380	18639	10713
381	18690	10666
382	18733	10614
383	18782	10565
384	18834	10517
385	18897	10477
386	18940	10424
387	18990	10376
388	19037	10326
389	19085	10276
390	19133	10227
391	19181	10177
392	19240	10134
393	19293	10087
394	19351	10043
395	19422	10005
396	19486	9964
397	19559	9927
398	19624	9886
399	19675	9837
400	19721	9786
401	19769	9737
402	19820	9689
403	19868	9639
404	19915	9588
405	19958	9537
406	20007	9487
407	20052	9436
408	20112	9392
409	20162	9343
410	20209	9293
411	20251	9241
412	20292	9188
413	20333	9135
414	20381	9085
415	20437	9039
416	20486	8990
417	20538	8942
418	20591	8895
419	20637	8844
420	20691	8797
421	20743	8749
422	20790	8699
423	20836	8649
424	20882	8598
425	20928	8548
426	20970	8496
427	21013	8444
428	21074	8400
429	21123	8351
430	21168	8300
431	21212	8249
432	21253	8197
433	21295	8145
434	21341	8095
435	21383	8043
436	21427	7992
437	21469	7940
438	21513	7890
439	21560	7840
440	21614	7793
441	21667	7745
442	21730	7701
443	21782	7653
444	21830	7603
445	21885	7556
446	21934	7507
447	21981	7457
448	22023	7406
449	22070	7356
450	22111	7305
451	22154	7254
452	22196	7202
453	22239	7151
454	22280	7100
455	22322	7049
456	22365	6998
457	22411	6948
458	22451	6897
459	22494	6846
460	22537	6795
461	22579	6744
462	22619	6693
463	22665	6643
464	22710	6593
465	22770	6547
466	22826	6500
467	22888	6455
468	22946	6409
469	23001	6362
470	23049	6312
471	23108	6266
472	23155	6217
473	23195	6165
474	23238	6115
475	23283	6065
476	23326	6014
477	23373	5965
478	23416	5915
479	23461	5865
480	23502	5814
481	23543	5763
482	23587	5713
483	23630	5663
484	23697	5619
485	23741	5568
486	23797	5521
487	23838	5471
488	23884	5421
489	23928	5371
490	23978	5323
491	24037	5276
492	24103	5231
493	24160	5184
494	24207	5134
495	24255	5085
496	24299	5035
497	24340	4985
498	24386	4935
499	24430	4886
500	24469	4835
501	24511	4785
502	24603	4744
503	24645	4694
504	24686	4644
505	24729	4593
506	24770	4543
507	24814	4493
508	24860	4444
509	24905	4395
510	24945	4344
511	24988	4294
512	25029	4244
513	25081	4196
514	25124	4146
515	25199	4102
516	25252	4054
517	25321	4008
518	25378	3960
519	25423	3911
520	25464	3861
521	25509	3811
522	25551	3761
523	25594	3712
524	25640	3662
525	25694	3614
526	25737	3565
527	25783	3515
528	25827	3466
529	25868	3416
530	25909	3366
531	25953	3317
532	25994	3267
533	26034	3217
534	26085	3169
535	26126	3119
536	26169	3070
537	26212	3020
538	26254	2971
539	26295	2921
540	26336	2872
541	26398	2824
542	26465	2778
543	26521	2730
544	26573	2681
545	26615	2632
546	26657	2582
547	26698	2533
548	26741	2484
549	26787	2435
550	26832	2386
551	26876	2337
552	26920	2287
553	26964	2238
554	27006	2189
555	27057	2141
556	27099	2092
557	27140	2042
558	27180	1993
559	27224	1944
560	27268	1895
561	27308	1846
562	27354	1797
563	27400	1748
564	27444	1700
565	27488	1651
566	27532	1602
567	27587	1554
568	27668	1507
569	27733	1459
570	27784	1411
571	27830	1362
572	27871	1313
573	27911	1264
574	27963	1215
575	28003	1166
576	28054	1118
577	28096	1069
578	28139	1020
579	28182	971
580	28227	923
581	28269	874
582	28310	825
583	28355	776
584	28395	728
585	28437	679
586	28480	630
587	28520	582
588	28562	533
589	28603	484
590	28645	436
591	28685	387
592	28727	339
593	28777	290
594	28843	242
595	28903	193
596	28971	145
597	29020	97
598	29070	48
599	29109	0
