iter	Logloss
0	0.685515821
1	0.6779733896
2	0.6703109145
3	0.6631104946
4	0.6551767588
5	0.6497998834
6	0.6435544491
7	0.6359988451
8	0.6299469471
9	0.6247219443
10	0.6182513237
11	0.6117053628
12	0.6072372198
13	0.6034810543
14	0.5986860991
15	0.5943310261
16	0.5907407403
17	0.5866006613
18	0.5802695751
19	0.5745923519
20	0.569547832
21	0.5636718869
22	0.5604408979
23	0.5527336001
24	0.5488085151
25	0.5437502265
26	0.5376446247
27	0.5332844853
28	0.5288572311
29	0.5247517824
30	0.5214936137
31	0.5182750821
32	0.5147453547
33	0.5113117695
34	0.5058301687
35	0.5021841526
36	0.499368906
37	0.4956613481
38	0.4931951761
39	0.4866173267
40	0.4837566912
41	0.4800460339
42	0.4768611193
43	0.4730780721
44	0.4702407718
45	0.4662514329
46	0.4629375637
47	0.4597612023
48	0.4571832418
49	0.452970773
50	0.4506878257
51	0.4493113756
52	0.4460479915
53	0.4437663555
54	0.4413248301
55	0.4391824305
56	0.4366332293
57	0.4332216382
58	0.4301661253
59	0.4269048572
60	0.4228737056
61	0.4185666442
62	0.4158731699
63	0.4137288928
64	0.4115808904
65	0.4087094963
66	0.4055440128
67	0.4036704302
68	0.399009347
69	0.3975215852
70	0.3944216967
71	0.3911752105
72	0.3884339333
73	0.3860521913
74	0.3841956556
75	0.3804610074
76	0.3785843253
77	0.3766675293
78	0.3738890886
79	0.3721509278
80	0.3705949187
81	0.3683411479
82	0.3660283983
83	0.3638951182
84	0.3609772921
85	0.3591364026
86	0.3561723828
87	0.3546969295
88	0.3528810143
89	0.350379616
90	0.3473799825
91	0.3455550075
92	0.3437513411
93	0.3419810832
94	0.3389534652
95	0.3370528221
96	0.3346823752
97	0.3320201933
98	0.3296420872
99	0.3277864456
100	0.3266234696
101	0.3244121969
102	0.3218140006
103	0.3199825883
104	0.318063736
105	0.3167733252
106	0.3143703043
107	0.312433809
108	0.3100397587
109	0.3071196079
110	0.3057893813
111	0.3032487035
112	0.3017360568
113	0.3002347648
114	0.2983100116
115	0.2959919274
116	0.2939584255
117	0.2924560905
118	0.2906345129
119	0.2896224856
120	0.2873869538
121	0.2855979204
122	0.2847382426
123	0.2823870182
124	0.2813497186
125	0.2796683311
126	0.2774285674
127	0.2762538195
128	0.2753866315
129	0.2738143802
130	0.2727772593
131	0.2711426616
132	0.2696555555
133	0.2680559158
134	0.2662918866
135	0.2653074265
136	0.2643150091
137	0.2625212073
138	0.2609803081
139	0.2598535717
140	0.258711189
141	0.2556664646
142	0.2540400922
143	0.252784431
144	0.2516940236
145	0.2504023314
146	0.2488857508
147	0.2472992688
148	0.2464139163
149	0.2458721697
150	0.2445694357
151	0.2427442968
152	0.2414860129
153	0.2402260602
154	0.2394090295
155	0.2386687398
156	0.2371818125
157	0.2362256199
158	0.2343973368
159	0.2321273834
160	0.2310512215
161	0.2294616252
162	0.2284091711
163	0.2266999781
164	0.2257127464
165	0.2245620787
166	0.2229105234
167	0.2214395553
168	0.2192369401
169	0.2176677734
170	0.2163116634
171	0.2152179778
172	0.214348346
173	0.2132865638
174	0.2119877785
175	0.2109205872
176	0.2098971158
177	0.2088003457
178	0.2081806958
179	0.207056731
