iter	Logloss
180	0.2063911855
181	0.2054004371
182	0.2045913488
183	0.2028257549
184	0.2016695887
185	0.2003687322
186	0.1995158494
187	0.1986761689
188	0.1973502934
189	0.1964935511
190	0.1957898736
191	0.1944327354
192	0.1935412586
193	0.1919825375
194	0.1913880557
195	0.1907794178
196	0.1894302666
197	0.1875545532
198	0.1866437644
199	0.1856184304
200	0.1843827069
201	0.1829938591
202	0.1817941964
203	0.1808604598
204	0.1794052869
205	0.1788035631
206	0.1777541041
207	0.1767051816
208	0.1760676205
209	0.1752006263
210	0.1743057966
211	0.1730979085
212	0.172311753
213	0.1716828048
214	0.1701329947
215	0.1693660021
216	0.1688068956
217	0.1679050177
218	0.167116642
219	0.1668043435
220	0.1656455696
221	0.1648784876
222	0.1637076139
223	0.162532568
224	0.1615584195
225	0.1605233848
226	0.1595120877
227	0.158532843
228	0.157690838
229	0.1564524174
230	0.1555444896
231	0.1549018323
232	0.1537651271
233	0.1525998116
234	0.1520375907
235	0.1507536769
236	0.1500533521
237	0.1489595175
238	0.1477025449
239	0.1465989351
240	0.1455732733
241	0.1447809488
242	0.1436299682
243	0.1425336897
244	0.1415688396
245	0.1405977458
246	0.1399195939
247	0.1392040551
248	0.1387675405
249	0.1377783418
250	0.1370807439
251	0.1361721456
252	0.1350847632
253	0.1343126744
254	0.1330520511
255	0.1321576089
256	0.1311861575
257	0.1304336786
258	0.1296837032
259	0.1290107518
260	0.128149122
261	0.1273253858
262	0.1264016926
263	0.1256375611
264	0.1249174029
265	0.1238546297
266	0.1230678484
267	0.1223439276
268	0.121704191
269	0.1206965744
270	0.1198854819
271	0.1190112755
272	0.1180938333
273	0.1170413941
274	0.1160720885
275	0.1154429018
276	0.1145600528
277	0.1138137281
278	0.1131445616
279	0.1123346537
280	0.1115152314
281	0.1109767556
282	0.1102965027
283	0.1092553735
284	0.1084978804
285	0.1076322496
286	0.1067721844
287	0.1059319824
288	0.1051431745
289	0.1043345258
290	0.1037820131
291	0.1028272659
292	0.1021107063
293	0.1013191938
294	0.1007274687
295	0.1002142057
296	0.09936062992
297	0.09876315296
298	0.09820779413
299	0.09769314528
300	0.09715563059
301	0.09644526243
302	0.0958006829
303	0.09518496692
304	0.09454025328
305	0.09374515712
306	0.0931699574
307	0.09244268388
308	0.09175238013
309	0.09117024392
310	0.0906445533
311	0.08997471631
312	0.08923044801
313	0.08866421878
314	0.08812470734
315	0.0876853615
316	0.08699351549
317	0.08630682528
318	0.08592939377
319	0.08544650674
320	0.08510349691
321	0.08456579596
322	0.08369159698
323	0.0833567977
324	0.08283382654
325	0.08248960227
326	0.08224704117
327	0.08167842031
328	0.08132400364
329	0.08087055385
330	0.08051761985
331	0.0798446089
332	0.07923615724
333	0.07866176218
334	0.07820001245
335	0.07762268186
336	0.07734811306
337	0.07678800821
338	0.07623519003
339	0.07573546469
340	0.07518385351
341	0.07477007806
342	0.07451827824
343	0.07408928871
344	0.07363152504
345	0.07307672501
346	0.07274995744
347	0.07244098186
348	0.07200610638
349	0.07167375088
350	0.07134872675
351	0.07093292475
352	0.07046511769
353	0.07002282143
354	0.06962632388
355	0.06925323606
356	0.06887644529
357	0.06850185245
358	0.06807564199
359	0.06763617694
360	0.0672307983
361	0.06676594913
362	0.06646671891
363	0.0659872517
364	0.06568980217
365	0.06517776102
366	0.06486622244
367	0.06439092755
368	0.06395352632
369	0.06348666549
370	0.06310736388
371	0.06268938631
372	0.06239979714
373	0.06209208816
374	0.06169519201
375	0.06139524281
376	0.06106702611
377	0.06066437811
378	0.06029209122
379	0.05991360918
380	0.0596922338
381	0.05950251967
382	0.05915570259
383	0.05885194242
384	0.05858782306
385	0.0582408905
386	0.05791253597
387	0.05773000792
388	0.05731601268
389	0.0570333153
390	0.05674327537
391	0.05644479766
392	0.05620001256
393	0.05581438914
394	0.05563892424
395	0.05543701351
396	0.05518322438
397	0.05481422693
398	0.05458948016
399	0.0542704165
400	0.05398599058
401	0.05361770838
402	0.05335746706
403	0.05313362926
404	0.05282545462
405	0.05244048685
406	0.05215299129
407	0.05172891915
408	0.05147001147
409	0.05124288052
410	0.05094077066
411	0.05063793063
412	0.05038331449
413	0.05011402071
414	0.04981224239
415	0.04952287674
416	0.049245812
417	0.04889760911
418	0.04866734892
419	0.04838269204
420	0.04823452234
421	0.04795505106
422	0.0477793254
423	0.04744717106
424	0.04725166783
425	0.04698247463
426	0.04676464945
427	0.04654285312
428	0.04636931419
429	0.04610768706
430	0.04588942602
431	0.04560611397
432	0.04536998644
433	0.04517830163
434	0.04494576529
435	0.04468078539
436	0.04441369697
437	0.04417324811
438	0.04402698576
439	0.04383975267
440	0.04366443306
441	0.04345803708
442	0.04324337095
443	0.04300222918
444	0.04286621511
445	0.0425853394
446	0.04234241694
447	0.04214316607
448	0.04196026921
449	0.04174765199
450	0.04159953445
451	0.04141363502
452	0.04122337699
453	0.04102605954
454	0.04081045836
455	0.04062082618
456	0.04043532908
457	0.04026203603
458	0.04005511105
459	0.03982000053
460	0.03962668777
461	0.03942725807
462	0.03924503922
463	0.03913099691
464	0.0389033258
465	0.03877050057
466	0.03857738525
467	0.03841888532
468	0.03824247792
469	0.03807878867
470	0.03789144754
471	0.03765665367
472	0.03748634085
473	0.03740295768
474	0.03723617643
475	0.03704831749
476	0.0369604528
477	0.03675836697
478	0.03660639375
479	0.03647567332
480	0.03636346757
481	0.03623133153
482	0.03606063873
483	0.03588446975
484	0.03566610813
485	0.03554928303
486	0.03537315875
487	0.03522482514
488	0.03509169817
489	0.03498880565
490	0.03484027088
491	0.03466454893
492	0.03456252068
493	0.03439865261
494	0.03430205211
495	0.03420152888
496	0.03410503641
497	0.03399519622
498	0.03384240717
499	0.03375325352
500	0.03363269567
501	0.03348829597
502	0.03337271512
503	0.03328222781
504	0.03313469142
505	0.03297685087
506	0.03284371272
507	0.03269948438
508	0.03260790557
509	0.03244498
510	0.03230068833
511	0.03218378872
512	0.03209542483
513	0.03200486302
514	0.03191167861
515	0.03176974878
516	0.03164086118
517	0.03149082512
518	0.03139632568
519	0.03128093109
520	0.03113034368
521	0.03104381636
522	0.03090324998
523	0.03077452257
524	0.03066518158
525	0.03056512773
526	0.03044775128
527	0.03034383059
528	0.03019608185
529	0.03009214438
530	0.02991994657
531	0.02977317572
532	0.0296668075
533	0.02953527495
534	0.02945844457
535	0.0293266885
536	0.02921999991
537	0.0291342847
538	0.02904620953
539	0.02890187316
540	0.02878104895
541	0.02871682681
542	0.02859453112
543	0.02848059498
544	0.02835231647
545	0.02824617922
546	0.02811884321
547	0.02801635861
548	0.02789759263
549	0.02778283879
550	0.02765127271
551	0.02755870111
552	0.02743851393
553	0.02733060345
554	0.02723965049
555	0.02712688223
556	0.02701729164
557	0.02691341564
558	0.02682620659
559	0.02674256638
560	0.02664410137
561	0.02651866712
562	0.02644215152
563	0.02637233585
564	0.0262729004
565	0.02617235109
566	0.02606040239
567	0.02600538731
568	0.02586338669
569	0.02580402233
570	0.02573098987
571	0.02565361187
572	0.02556625754
573	0.02550017461
574	0.02541490085
575	0.0253283754
576	0.02522216737
577	0.02514467575
578	0.02506372333
579	0.02498346195
580	0.02487844229
581	0.02478554845
582	0.02472278848
583	0.02461717278
584	0.02453491651
585	0.02442621998
586	0.02431086637
587	0.02422513254
588	0.02414651029
589	0.02406658605
590	0.02395829931
591	0.0238644518
592	0.02377928793
593	0.02369305678
594	0.02360866964
595	0.0235147886
596	0.02345078252
597	0.02337473258
598	0.02329162322
599	0.02317109331
