symbol,entry,exit,notional,original_notional,confidence,xgb_prob,lgbm_prob,cat_prob,ensemble_prob,status,pnl
ETHUSDT,3495.6,3491.2,0,0.05,0.6126912988341081,0.5020519219569703,0.8028007946251727,0.5341383422778772,0.6126912988341081,CLOSED,-6.293626273029082e-05
ASTERUSDT,0.8284,0.8362,0,0.0495,0.7096283596273034,0.7265369339266782,0.790436743734956,0.6116600790513834,0.7096283596273034,CLOSED,0.000466079188797684
SOLUSDT,158.08,158.53,0,0.049005,0.652662669842387,0.6587123296671473,0.6277902348020598,0.6714344941956883,0.652662669842387,CLOSED,0.00013950056933198027
HYPEUSDT,37.3895,37.6495,0,0.04851495,0.7113158090512021,0.7385779136336893,0.7402542065637073,0.6544891126966932,0.7113158090512021,CLOSED,0.0003373644204923909
GIGGLEUSDT,51.02,49.19,0,0.0480298005,0.7437724871625699,0.7564384443428042,0.8361079843679117,0.6388888888888888,0.7437724871625699,CLOSED,-0.0017227466663073353
ATUSDT,0.33599,0.33811,0,0.04754950249499999,0.6274722105723454,0.6709062442997827,0.6717978780385322,0.5404040404040403,0.6274722105723454,CLOSED,0.0003000236473984359
0GUSDT,1.2166,1.256,0,0.04707400747004999,0.7281892562355728,0.783209485438363,0.7738869912403753,0.6272722753775168,0.7281892562355728,CLOSED,0.0020903939286285186
4USDT,0.04928,0.04994,0,0.04660326739534949,0.6526287915301533,0.7133942838662778,0.6777275301177262,0.5692207871099259,0.6526287915301533,CLOSED,0.0008227443716305639
